,seed,sp_dims,version,n_ensembles,dimensions,bias,n_neurons,relus_list,conns_list,neuron_type,saliences,plot,run_num,comment,seed_val,label,relus_set,input_actions,selected_action,decoded_actions,decoded_saliences,total_neurons,notes,Margin_top_bottom_t0,Margin_top2_t0,Margin_top_bottom_t1,Margin_top2_t1,Margin_top_bottom_t2,Margin_top2_t2
0,11,512,new,512,None,0.5,10,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,11,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.          0.          0.         ...  0.          0.
   0.        ]
 [-0.14283074 -0.14719273  0.         ... -0.05290039  0.12146171
   0.06495627]
 [-0.10791464 -0.0625114  -0.0597162  ...  0.02483739  0.1099031
   0.03816679]
 ...
 [ 0.38509825  0.53834848  0.52307264 ...  0.43819689  0.42824401
   0.44935312]
 [ 0.34845131  0.41756163  0.37604354 ...  0.39649694  0.59428031
   0.55235369]
 [ 0.48329746  0.42946991  0.42927235 ...  0.30586488  0.53772706
   0.44678793]]",[0 0 1 ... 1 2 2],"[[ 0.          0.          0.        ]
 [ 0.05055638  0.00318354 -0.06696905]
 [-0.01466141  0.09095604  0.08941686]
 ...
 [ 0.59316046  0.88979656  0.88157533]
 [ 0.57585895  0.74905601  0.95293834]
 [ 0.39140459  0.82639822  0.92466322]]",25600,,0.052166694936770036,-0.028563287476753962,0.2415715287292515,0.061637880838651404,0.24393554687807625,0.03586325555243597
1,11,512,new,512,None,0.5,20,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,11,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.          0.          0.         ...  0.          0.
   0.        ]
 [-0.00842282 -0.02949555 -0.08200418 ...  0.03406725 -0.03706988
  -0.04708713]
 [-0.00762128 -0.02668868  0.00696103 ...  0.00759885  0.05690471
  -0.0426062 ]
 ...
 [ 0.35480352  0.5405985   0.52700597 ...  0.45105694  0.52276975
   0.3573812 ]
 [ 0.43200503  0.52179274  0.46983442 ...  0.47471219  0.55332841
   0.39470371]
 [ 0.420084    0.4721376   0.5431702  ...  0.47937272  0.50866399
   0.46734904]]",[0 2 2 ... 2 2 2],"[[ 0.          0.          0.        ]
 [-0.10146926 -0.04954215  0.00930673]
 [-0.04863434  0.0469155   0.11473082]
 ...
 [ 0.60189994  0.67953962  0.90888044]
 [ 0.63656774  0.67878757  0.89564081]
 [ 0.62821856  0.66161669  0.85909111]]",51200,,0.24263690516482103,0.1690501638427626,0.021398054839442543,0.04250482551799728,0.05023579816349519,0.06242707890377963
2,11,512,new,512,None,0.5,50,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,11,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.          0.          0.         ...  0.          0.
   0.        ]
 [-0.0051444  -0.03067201  0.02155568 ... -0.00212852 -0.00780162
   0.00934217]
 [-0.03030011 -0.01668291  0.03934077 ...  0.05730521  0.00731109
  -0.00942347]
 ...
 [ 0.42745578  0.55727716  0.50661764 ...  0.48513256  0.54089147
   0.45839712]
 [ 0.3755839   0.54173389  0.50055165 ...  0.47286425  0.51569053
   0.45232488]
 [ 0.35864977  0.55852806  0.52861487 ...  0.46123981  0.54025421
   0.49426309]]",[0 1 1 ... 2 2 2],"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-4.53067213e-02  3.14901070e-02  4.97652406e-04]
 [ 4.32184988e-03  6.98672848e-02 -1.14867865e-02]
 ...
 [ 5.91856577e-01  7.99733366e-01  9.32178549e-01]
 [ 5.78230742e-01  7.85740467e-01  9.35154099e-01]
 [ 5.73568017e-01  8.05091373e-01  9.80616281e-01]]",128000,,0.18140489744232444,0.06456681410828036,0.16742185915955252,0.08732034243143616,0.1609366978212535,0.04189695628427659
3,11,512,new,512,None,0.5,100,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,11,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 2.60536423e-02 -2.83627353e-02  8.19585128e-03 ... -7.31099320e-03
  -2.17181277e-02  4.20644547e-04]
 [ 4.38945140e-04 -1.58726399e-03  1.03930222e-02 ... -1.97309429e-02
   3.02500803e-03 -1.68828031e-02]
 ...
 [ 4.01418413e-01  5.21198748e-01  5.09992237e-01 ...  4.44100605e-01
   4.77319042e-01  4.72055807e-01]
 [ 4.03088039e-01  5.37231844e-01  5.16324605e-01 ...  4.53064255e-01
   5.44313124e-01  4.97261487e-01]
 [ 4.07234876e-01  5.09719038e-01  4.77485355e-01 ...  4.42737736e-01
   5.49858828e-01  4.75579084e-01]]",[0 2 2 ... 2 2 2],"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-6.23470532e-03  2.22904091e-03  2.34937946e-02]
 [-7.70596481e-03 -6.79368818e-04  3.67242564e-02]
 ...
 [ 5.34983358e-01  7.74214901e-01  9.55166704e-01]
 [ 5.27275653e-01  7.73755322e-01  9.47626873e-01]
 [ 5.42880200e-01  7.98282301e-01  9.92169572e-01]]",256000,,0.16800546197118868,0.044677288079311483,0.20606206596999685,0.09169327579479469,0.21427221823291773,0.07304158165718455
4,11,512,new,512,None,0.5,200,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,11,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.          0.          0.         ...  0.          0.
   0.        ]
 [-0.01222172 -0.01143852  0.00342718 ... -0.00502003 -0.00436768
  -0.01834106]
 [-0.00736194 -0.01042817 -0.01840122 ... -0.0102142  -0.00796343
  -0.01395998]
 ...
 [ 0.40657056  0.52311128  0.52099717 ...  0.43144862  0.52325621
   0.47683669]
 [ 0.40287502  0.5102139   0.50321117 ...  0.43218229  0.52943224
   0.47539   ]
 [ 0.43813945  0.51906162  0.49671285 ...  0.43752013  0.5106613
   0.45429816]]",[0 1 0 ... 2 2 2],"[[ 0.          0.          0.        ]
 [-0.02972935  0.00973265  0.00260214]
 [ 0.02231378  0.0083202   0.01706856]
 ...
 [ 0.51444724  0.79783181  0.9605088 ]
 [ 0.51580431  0.78491757  0.96473869]
 [ 0.53287938  0.78092872  0.96701125]]",512000,,0.1986499484947418,0.05638859098020965,0.21646416808492983,0.0970609206255949,0.23254580960937773,0.07740905555932676
5,9,512,new,512,None,0.5,10,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,9,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.          0.          0.         ...  0.          0.
   0.        ]
 [-0.02425696  0.00772556  0.02541143 ... -0.05266762 -0.0125694
   0.02385247]
 [-0.01519878 -0.00984936  0.00913161 ...  0.00687454  0.06300379
   0.05218063]
 ...
 [ 0.48775233  0.45075239  0.45017589 ...  0.4582469   0.41381975
   0.39711313]
 [ 0.52380596  0.35799813  0.45468942 ...  0.41463894  0.44881665
   0.39181816]
 [ 0.49997722  0.32393011  0.48299074 ...  0.47945007  0.4061061
   0.35453173]]",[0 0 0 ... 1 1 2],"[[ 0.          0.          0.        ]
 [ 0.00698276 -0.02433858 -0.10895423]
 [ 0.08744961 -0.01970104  0.01499755]
 ...
 [ 0.71464878  0.78252335  0.58124997]
 [ 0.63527633  0.72723422  0.70754355]
 [ 0.58781815  0.6139226   0.91364192]]",25600,,0.24799699500837083,0.11565417407120293,0.010334666020950428,0.17545731245114193,-0.1301619252597324,-0.0630206253727712
6,9,512,new,512,None,0.5,20,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,9,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.          0.          0.         ...  0.          0.
   0.        ]
 [-0.03165622  0.0540306   0.06428532 ...  0.02988831 -0.06290489
  -0.023504  ]
 [-0.06949959  0.0476128  -0.01781947 ...  0.02704406 -0.05981913
  -0.00861987]
 ...
 [ 0.45069458  0.36889381  0.48370785 ...  0.49610987  0.45304426
   0.41069912]
 [ 0.43582405  0.38781952  0.52956192 ...  0.49985207  0.4099314
   0.38762201]
 [ 0.4977012   0.37063046  0.51211733 ...  0.45137846  0.39536812
   0.43905306]]",[0 1 0 ... 2 2 2],"[[ 0.          0.          0.        ]
 [-0.04865056  0.00846724 -0.02441988]
 [ 0.05397083  0.04621288 -0.01764033]
 ...
 [ 0.62728359  0.66816842  0.86552499]
 [ 0.59586129  0.65085258  0.92837387]
 [ 0.60039492  0.72552928  0.89291143]]",51200,,0.13043923176737057,0.16830620780254935,0.02502903289161848,0.028048206483887728,0.03461962219079992,0.10713280230836053
7,9,512,new,512,None,0.5,50,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,9,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.01694532  0.01429617 -0.00272067 ...  0.05442068 -0.03113148
   0.0199536 ]
 [-0.02108643 -0.00175491 -0.0396709  ... -0.02299377 -0.05096897
  -0.00609235]
 ...
 [ 0.41443244  0.46952539  0.50674592 ...  0.4484938   0.52924153
   0.46940519]
 [ 0.4402659   0.44355187  0.4792654  ...  0.44027039  0.52189896
   0.44994295]
 [ 0.45878642  0.46644413  0.51188667 ...  0.49047015  0.50406964
   0.46469008]]",[0 2 1 ... 2 2 2],"[[ 0.          0.          0.        ]
 [-0.06090035  0.0024645   0.01373261]
 [ 0.0183061   0.03822983  0.0267101 ]
 ...
 [ 0.5506297   0.70972665  0.90479189]
 [ 0.59072327  0.74008303  0.90830226]
 [ 0.57180854  0.71117863  0.93938334]]",128000,,0.11031591880944355,0.10660936716769787,0.13491610710247956,0.054189322959773634,0.1472939719503001,0.12342433801648978
8,9,512,new,512,None,0.5,100,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,9,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.14391599e-02  3.28425101e-02  3.43769969e-04 ...  1.77993099e-02
  -4.92949658e-03  3.88780993e-02]
 [ 9.24346736e-03  1.75494738e-02  2.17601309e-03 ... -3.57623688e-03
   3.31092181e-02  1.42243114e-02]
 ...
 [ 4.63282864e-01  4.38468667e-01  4.81506795e-01 ...  4.40784707e-01
   4.85955802e-01  4.50967212e-01]
 [ 4.59996819e-01  4.47383738e-01  5.00294630e-01 ...  4.19946408e-01
   5.06233744e-01  4.33092274e-01]
 [ 4.69031263e-01  4.38675795e-01  5.08311992e-01 ...  4.37734188e-01
   5.31548133e-01  4.68081645e-01]]",[0 2 0 ... 2 2 2],"[[ 0.          0.          0.        ]
 [-0.02744643 -0.00963601  0.03288598]
 [ 0.02135823  0.0118327   0.00814554]
 ...
 [ 0.57417857  0.68719978  0.9504573 ]
 [ 0.58540331  0.70199001  0.90759924]
 [ 0.59596692  0.67309096  0.94977308]]",256000,,0.12598420941145969,0.14402057258132372,0.12120255334247906,0.04490768750625085,0.15057693828516447,0.16548977263255338
9,9,512,new,512,None,0.5,200,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,9,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-3.23943188e-03  6.51124937e-03  1.96909186e-02 ... -2.10464099e-02
   3.80726641e-03 -5.00920509e-03]
 [-1.23894845e-02 -1.36829484e-02  2.47548666e-05 ... -1.29214877e-02
   3.65703248e-04 -8.80676603e-03]
 ...
 [ 4.51063589e-01  4.56736004e-01  4.82610963e-01 ...  4.71583053e-01
   4.99407127e-01  4.60205315e-01]
 [ 4.48798604e-01  4.42932794e-01  4.87315894e-01 ...  4.56082011e-01
   5.09206746e-01  4.42971346e-01]
 [ 4.66935190e-01  4.72937249e-01  4.95701585e-01 ...  4.54594265e-01
   5.30176050e-01  4.43876569e-01]]",[0 0 0 ... 2 2 2],"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.48862948e-02 -7.29475645e-03  2.34516152e-04]
 [ 2.96226103e-02  9.15820921e-03  2.51816536e-02]
 ...
 [ 5.84727482e-01  6.78618582e-01  9.42888358e-01]
 [ 5.99082752e-01  6.96674772e-01  9.53988297e-01]
 [ 6.05865099e-01  6.93853198e-01  9.44142300e-01]]",512000,,0.14013360291118712,0.14474073024439704,0.1397077527034379,0.0659697717892399,0.14904849129177142,0.15359560558177565
10,21,512,new,512,None,0.5,10,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,21,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.          0.          0.         ...  0.          0.
   0.        ]
 [ 0.          0.0984858   0.         ...  0.         -0.09477303
   0.        ]
 [ 0.06924395 -0.00807337 -0.11242394 ... -0.05877979 -0.15032394
   0.06312603]
 ...
 [ 0.5004743   0.56810928  0.46822783 ...  0.46613333  0.49487019
   0.43188559]
 [ 0.58487503  0.46663737  0.42367006 ...  0.42177488  0.61479997
   0.52350577]
 [ 0.52921681  0.42223096  0.38335253 ...  0.38163769  0.62851787
   0.53681363]]",[0 0 2 ... 2 2 2],"[[ 0.          0.          0.        ]
 [ 0.00277658 -0.11225895 -0.01130868]
 [ 0.04721083 -0.1512327   0.06964231]
 ...
 [ 0.6438941   0.62726438  0.79807684]
 [ 0.65775931  0.66020684  0.91188075]
 [ 0.68160682  0.66036078  0.92901843]]",25600,,0.07247964429748074,0.1389583538927317,-0.005394381097481277,-0.013608507253414448,0.018245686574331427,0.08123119633224152
11,21,512,new,512,None,0.5,20,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,21,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.          0.          0.         ...  0.          0.
   0.        ]
 [-0.06016027 -0.07739449  0.0758357  ... -0.04015469  0.04232727
   0.03327249]
 [ 0.0255937  -0.00348391  0.06820716 ...  0.01256132 -0.04880747
   0.03584422]
 ...
 [ 0.41920346  0.50770977  0.4606422  ...  0.48881613  0.52342931
   0.50462298]
 [ 0.41469902  0.45231091  0.492642   ...  0.53102025  0.48969218
   0.52452804]
 [ 0.32924289  0.50158222  0.51935435 ...  0.51674292  0.51775375
   0.47461259]]",[0 2 2 ... 2 1 2],"[[ 0.          0.          0.        ]
 [ 0.03155843 -0.05096629  0.04727043]
 [-0.01762406 -0.08237368  0.0523448 ]
 ...
 [ 0.59925655  0.71585097  0.92729671]
 [ 0.54800786  0.80708546  0.80647489]
 [ 0.57637872  0.81186218  0.85075175]]",51200,,0.07700319148664433,-0.016005227624388052,0.18450894294727524,0.12955610131262507,0.09348049193954497,-0.01754990231708442
12,21,512,new,512,None,0.5,50,[],['cortex_stn' 'd1_gpi' 'd2_gpe' 'stn_gpi' 'stn_gpe' 'gpe_gpi' 'gpe_stn'],LIF(),[0.2 0.3 0.1],False,1,,21,1,[],"[[0.         0.         0.        ]
 [0.02854877 0.01903252 0.00951626]
 [0.05438077 0.03625385 0.01812692]
 ...
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]
 [0.1        0.2        0.3       ]]","[[ 0.          0.          0.         ...  0.          0.
   0.        ]
 [-0.01630212  0.00551104  0.06056312 ... -0.01303654 -0.02402748
   0.03728342]
 [ 0.01908769  0.02914625  0.04223496 ...  0.03252678  0.0160145
   0.04380022]
 ...
 [ 0.49044449  0.45894564  0.42739278 ...  0.47304617  0.4912224
   0.53743716]
 [ 0.48495492  0.52505554  0.46626442 ...  0.43035901  0.47962615
   0.5233122 ]
 [ 0.51120773  0.49830368  0.44833136 ...  0.50293136  0.50359242
   0.49719784]]",[0 2 2 ... 2 2 2],"[[ 0.          0.          0.        ]
 [ 0.02331492 -0.01860978  0.02706255]
 [ 0.00437702 -0.02478204  0.01969941]
 ...
 [ 0.6314484   0.76131962  0.91017839]
 [ 0.63710392  0.73816869  0.93091438]
 [ 0.63957812  0.74640966  0.93838348]]",128000,,0.13947182561710456,0.10345412226603456,0.11366638228424716,0.08475645716179792,0.08479036860612463,0.07615770706345437
